nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0004280	Chris Blackwood	1972	\N	stunts,actor	tt0120157,tt0163025,tt0301470,tt0120902
nm0004281	Stephen Butcher	1946	\N	director,producer,actor	tt0053494,tt1382578,tt0159204,tt0074035
nm0004282	Anne Francis	1930	2011	actress,soundtrack	tt0058814,tt0059678,tt0049223,tt0047849
nm0004283	Sharon Farber	\N	\N	composer,music_department,actress	tt0069658,tt0256394,tt2962934
nm0004284	Cristine Rose	1951	\N	actress	tt0207201,tt0092455,tt0813715,tt0364845
nm0004285	Oak O'Connor	\N	\N	assistant_director,producer,art_director	tt0448156,tt0183280,tt0115674,tt0415489
nm0004286	Clifton Collins Jr.	1970	\N	actor,producer,director	tt0796366,tt0272020,tt0181865,tt0379725
nm0004287	Alex Thomson	1929	2007	cinematographer,camera_department,visual_effects	tt0116477,tt0089469,tt0078346,tt0082348
nm0004288	Jeff Lass	\N	\N	composer,soundtrack,music_department	tt0109987,tt2066176,tt0099422,tt0106644
nm0004289	Bryan Handy	\N	\N	actor,miscellaneous	tt2989692,tt0412253,tt0203078,tt1400511
nm0004290	Margaret Booth	1898	2002	editor,editorial_department,producer	tt0026752,tt0077321,tt0074937,tt0083564
nm0004291	Nargis	1929	1981	actress	tt0041161,tt0141441,tt0156923,tt0050188
nm0004292	Raj Kapoor	1924	1988	actor,producer,director	tt0066070,tt0152139,tt0084532,tt0058547
nm0004293	Matt Bellner	1969	\N	miscellaneous,actor,assistant_director	tt0058796,tt0108778,tt0118484,tt1548544
nm0004294	Nadia Bjorlin	1980	\N	actress,soundtrack	tt0780595,tt0364845,tt0058796,tt1695746
nm0004295	Michael Stearns	1940	\N	actor	tt0078767,tt0063928,tt0069768,tt0154029
nm0004296	Tamara Torres	1979	\N	actress,miscellaneous,make_up_department	tt0245625,tt0987915,tt0230030,tt0230838
nm0004297	Tamara Torres	\N	\N	location_management	tt0106257
nm0004298	David T. Anderson	\N	\N	art_department,camera_department	tt0181984,tt0110620
nm0004299	Jason Board	1965	\N	special_effects	tt0800080,tt1053424,tt0186151,tt0211443
nm0004300	Buddy Bregman	1930	2017	producer,director,music_department	tt0086425,tt0245675,tt0425413,tt0245633
nm0004301	Alexandra Adi	1971	\N	actress	tt0116168,tt0415167,tt0118887,tt0163651
nm0004302	Ken Kelsch	\N	\N	cinematographer,actor,camera_department	tt0116378,tt0103759,tt0068833,tt0899128
nm0004303	Gavin Hood	1963	\N	actor,producer,director	tt0804522,tt0468565,tt2057392,tt0178860
nm0004304	Jonathon E. Salzman	\N	\N	camera_department,cinematographer	tt0165854,tt0133952,tt0101410,tt0139654
nm0004305	George Miller	1943	\N	director,producer,writer	tt0067408,tt0109120,tt0084296,tt0076945
nm0004306	George Miller	1945	\N	producer,writer,director	tt0366548,tt0082694,tt0079501,tt1392190
nm0004307	Shane Salerno	1972	\N	writer,producer,music_department	tt1596753,tt1630029,tt1615065,tt0120591
nm0004308	Dirk Ahner	1973	\N	writer,camera_department,director	tt0221928,tt0222256,tt5521594,tt2171897
nm0004309	Shirley Knight	1936	\N	actress,producer,soundtrack	tt0119822,tt0456554,tt1114740,tt0056541
nm0004310	Larry Fine	1902	1975	actor,soundtrack,writer	tt0042012,tt0056579,tt0044007,tt0052880
nm0004311	Danny B. Harvey	\N	\N	composer,soundtrack,actor	tt1329432,tt1104052,tt0144814,tt0397039
nm0004312	Richard Milward	\N	\N	editor,editorial_department,miscellaneous	tt0166047,tt0252963,tt0120199,tt0101595
nm0004313	John A. Aiello	\N	\N	casting_director,casting_department	tt0115123,tt0466787,tt0117218,tt0115285
nm0004314	Angie Luckey	\N	\N	editorial_department,sound_department,actress	tt0311429,tt0099582,tt0098382,tt0106856
nm0004315	Eric Le Roy	1962	\N	actor,assistant_director	tt0260192,tt0088462,tt0267103,tt0203579
nm0004316	Phil Judd	1953	\N	music_department,composer,soundtrack	tt0084728,tt0101692,tt0095996,tt0099138
nm0004317	Phil Judd	1948	\N	sound_department,actor,director	tt0076299,tt0090555,tt0187636,tt0280490
nm0004318	Michel Trouillard	\N	\N	sound_department	tt0091429,tt0112366,tt0095710,tt0089776
nm0004319	Sarah Robinson	\N	\N	costume_department,art_department,miscellaneous	tt0372784,tt0468569,tt3659388,tt2316204
nm0004320	Karl Denham	\N	\N	visual_effects,director,cinematographer	tt0112173,tt0443706,tt1104001,tt0298814
nm0004321	Henning Lohner	1961	\N	composer,director,writer	tt0371246,tt0460780,tt0383222,tt0377109
nm0004322	Patrick Ramsay	\N	\N	sound_department,producer,miscellaneous	tt0374455,tt0758730,tt0364343,tt0357277
nm0004323	Jean-Luc Dinsdale	1971	\N	visual_effects,camera_department,cinematographer	tt0118480,tt0457572,tt2193021,tt2302601
nm0004324	Caroline Hutchings	1946	\N	costume_designer,costume_department,casting_director	tt0072500,tt0293020,tt0247329,tt0218000
nm0004325	Michiel Snijders	1972	\N	producer,writer,animation_department	tt0800164,tt4080760,tt0218670,tt4809396
nm0004326	Asher Ettinger	\N	\N	composer,music_department,soundtrack	tt4720284,tt0106110,tt0178145,tt0247385
nm0004327	Rachel Dixon	\N	\N	producer	tt0247395,tt0217007,tt0247435,tt0247656
